Cervical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated Symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis,G8250,G8251,G8252,G8220,G8221,G8222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensory Loss,R200,R202,R208,R209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pain,G541,G569,M545,M791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autonomic Dysfunction,I4891,I10,I709,R002,R42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladder & Bowel Dysfunction,N393,R32,N319,R1312,K5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spasticity & Muscle Tone Issues,G249,M625,M629,G250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory Dysfunction,J989,R090,J449,I279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mental Health Symptoms,F329,F419,F4322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weakness/Fatigue,R531,R532,R530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature Regulation Issues,T07,G959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reflex Issues,R293,R292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
