features,1,2,3,4,5,mean_gain,cumulative_gain
Epidural_hemorrhage,21077.885942697525,21039.531057834625,26547.618671417236,19392.463933944702,26225.447333812714,22856.58938794136,0.9491566418030677
Emotional_Behavioral_Cognitive,24284.544436216354,22442.142152309418,22693.297081708908,22906.578634023666,21832.21295595169,22831.755052042008,0.9516131418229865
CPD,19931.453866958618,22691.40329360962,20568.688168764114,22206.4793176651,25823.1366045475,22244.23225030899,0.9540064294542444
Other_incomplete_lesions_of_thoracic_spinal_cord,20297.573574543,20263.181207180023,21034.09451341629,21484.31375336647,21731.85879802704,20962.204369306564,0.9562617819373703
Obe,21758.00342273712,19959.747047185898,21327.73562979698,20607.613201141357,20724.40017223358,20875.499894618988,0.9585078057664654
Pain___Discomfort,19900.32086110115,22859.276381492615,21018.949018478394,20363.33778834343,19877.263472795486,20803.829504442216,0.9607461184794199
DMC,21299.749376773834,19395.39143562317,21149.968113660812,18713.27718448639,21293.94277405739,20370.46577692032,0.9629378049911533
_CHF,20864.53361058235,18237.449934720993,19776.207810163498,20702.82979631424,18093.959196567535,19534.996069669724,0.9650396021646459
Psych,19291.993921756744,19095.53288936615,18345.44963979721,20877.21740269661,19363.436061382294,19394.7259829998,0.9671263074860268
Diffuse_traumatic_brain_injury,15578.738030195236,18005.055841445923,18428.828671216965,17073.46716952324,20298.600199699402,17876.93798241615,0.9690497119028049
Injury_of_brachial_plexus,16388.82649207115,18203.084721565247,16857.723161935806,18465.2219786644,16057.443552494049,17194.459981346132,0.9708996875700453
HTNC,14281.839410543442,15079.220783233643,17409.083383321762,18465.77535057068,15852.818899869919,16217.747565507889,0.9726445774011994
DMU,17482.716421842575,15950.569721221924,14273.44124507904,14702.198557853699,16150.333592414856,15711.85190768242,0.974335037220701
HypoT,16628.968048095703,15475.865894079208,13915.350795507431,14377.063438415527,16627.57157754898,15404.96395072937,0.9759924785415964
DA,14891.399593353271,15494.202987194061,13714.188327789307,14805.67822933197,13151.313100099564,14411.356447553635,0.9775430162606539
Focal_traumatic_brain_injury,15539.103841304779,14888.018186092377,12920.048626184464,13064.979580879211,12032.094867706299,13688.849020433427,0.9790158184090088
Incomplete_lesion_of_lumbar_spinal_cord,11624.577431201935,12101.28822016716,12002.85498380661,13615.357024669647,13284.463443994522,12525.708220767974,0.9803634766343042
Respiratory___Pulmonary_Issues,10361.743637800217,11868.860252857208,10560.531992197037,13857.72702741623,13575.370724201202,12044.846726894379,0.9816593983081787
Anterior_cord_syndrome_of_cervical_spinal_cord,12441.580212116241,10626.483663082123,10887.441050052643,12161.565496444702,11000.69351530075,11423.552787399292,0.982888474110097
RF,10541.549453020096,12087.37230014801,11065.191463947296,10993.538606405258,12201.680792808533,11377.866523265839,0.984112634463838
LD,9492.670549154282,11740.001879930496,8903.852909564972,12357.7407412529,10504.68976354599,10599.791168689728,0.9852530806169117
PVD,11478.379237174988,9879.121376991272,8406.581281900406,11696.663004636765,11204.414922237396,10533.031964588165,0.9863863440551294
Concussion_and_edema_of_lumbar_and_sacral_spinal_cord,9814.350209236145,7994.661128044128,11080.705906867981,9252.480428695679,8500.153570890427,9328.470248746871,0.9873900070367805
Concussion_and_edema_of_thoracic_spinal_cord,10549.312433242798,8857.05028796196,8407.755449056625,9473.771500825882,7627.204885959625,8983.018911409377,0.9883565024325357
RA,6552.689648151398,7117.576795101166,6622.123865604401,6530.3132445812225,6304.377979278564,6625.41630654335,0.9890693401119826
ValD,6486.572187900543,7411.910103321075,5829.772045373917,7314.76296544075,6030.12139749527,6614.627739906311,0.9897810170346633
Complete_lesion_of_lumbar_spinal_cord,6790.439485788345,5071.921478271484,6721.131498575211,7688.499883174896,5271.406374454498,6308.679744052887,0.9904597765904488
Other_specified_intracranial_injuries,6258.56582570076,4788.124098062515,4370.81219625473,4956.056081295013,6961.071155548096,5466.925871372223,0.9910479706859666
Other_and_unspecified_injury_to_sacral_spinal_cord,5528.7368450164795,5460.311189174652,5409.1802406311035,5458.066662788391,5230.95611166954,5417.450209856033,0.9916308416268158
Mets,5878.838061332703,4865.853237628937,5777.111789941788,4785.47429060936,4864.317762851715,5234.319028472901,0.9921940092312508
PulmCD,5812.884777069092,5148.8055691719055,5719.2933514118195,4267.454729557037,4804.831195831299,5150.65392460823,0.9927481751917543
STU,4962.136103153229,4715.098355770111,4990.816314697266,5327.745234489441,5115.679810762405,5022.29516377449,0.9932885308561231
Other_Regulatory_Issues,4250.923175811768,4630.258469820023,5255.098357439041,4698.838399648666,5088.609479904175,4784.745576524734,0.9938033282327264
Infectious_Pathology,5665.741689920425,4159.21847653389,4629.3401601314545,3572.4861931800842,4348.616694927216,4475.080642938614,0.9942848083319767
Brown_Séquard_syndrome_of_cervical_spinal_cord,4287.678681612015,4078.9237394332886,5333.363703489304,4183.125091552734,4124.97278213501,4401.61279964447,0.9947583839246263
Injury_of_nerve_root_of_cervical_spine,4775.80958366394,4104.594211339951,4002.9378044605255,4499.028826236725,4425.899573087692,4361.6539997577665,0.9952276602948774
Post_Surgical___Structural_Issues,5089.186782360077,4602.312066555023,4484.167850017548,3298.5360407829285,4138.236733198166,4322.487894582749,0.9956927227298474
